Match_ID,Team,Opponent,Bowler_Name,Overs,Maidens,Runs_Conceded,Wickets,Economy,Dots
1871,Netherlands,South Africa,Bas de Leede,3.0,0,25,2,8.33,4
1867,England,Sri Lanka,Ben Stokes,3.0,0,24,1,8.0,8
1867,England,Sri Lanka,Chris Woakes,3.0,0,24,1,8.0,5
1867,England,Sri Lanka,Mark Wood,3.0,0,26,3,8.66,8
1867,England,Sri Lanka,Sam Curran,4.0,0,27,1,6.75,10
1867,England,Sri Lanka,Adil Rashid,4.0,0,16,1,4.0,11
1867,England,Sri Lanka,Liam Livingstone,2.0,0,16,0,8.0,2
1867,England,Sri Lanka,Moeen Ali,1.0,0,5,0,5.0,1
1867,Sri Lanka,England,Maheesh Theekshana,4.0,0,22,0,5.5,11
1867,Sri Lanka,England,Kasun Rajitha,3.0,0,40,0,13.33,4
1867,Sri Lanka,England,Lahiru Kumara,3.4,0,24,2,6.54,11
1867,Sri Lanka,England,Wanindu Hasaranga,4.0,0,23,2,5.75,11
1867,Sri Lanka,England,Dhananjaya de Silva,4.0,0,24,2,6.0,7
1867,Sri Lanka,England,Charith Asalanka,1.0,0,8,0,8.0,1
1864,Afghanistan,Australia,Fazalhaq Farooqi,4.0,0,29,2,7.25,13
1864,Afghanistan,Australia,Mujeeb Ur Rahman,4.0,0,42,1,10.5,5
1864,Afghanistan,Australia,Naveen-ul-Haq,4.0,0,21,3,5.25,11
1864,Afghanistan,Australia,Gulbadin Naib,3.0,0,31,0,10.33,6
1864,Afghanistan,Australia,Rashid Khan,4.0,0,29,1,7.25,9
1864,Afghanistan,Australia,Mohammad Nabi,1.0,0,14,0,14.0,1
1864,Australia,Afghanistan,Josh Hazlewood,4.0,0,33,2,8.25,13
1864,Australia,Afghanistan,Pat Cummins,4.0,0,22,0,5.5,12
1864,Australia,Afghanistan,Marcus Stoinis,2.0,0,26,0,13.0,2
1864,Australia,Afghanistan,Kane Richardson,4.0,0,48,1,12.0,4
1864,Australia,Afghanistan,Adam Zampa,4.0,0,22,2,5.5,11
1864,Australia,Afghanistan,Cameron Green,2.0,0,13,0,6.5,7
1862,Ireland,New Zealand,Josh Little,4.0,0,22,3,5.5,10
1862,Ireland,New Zealand,Mark Adair,4.0,0,39,1,9.75,9
1862,Ireland,New Zealand,Barry McCarthy,4.0,0,46,0,11.5,4
1862,Ireland,New Zealand,Gareth Delany,4.0,0,30,2,7.5,11
1862,Ireland,New Zealand,Fionn Hand,2.0,0,22,0,11.0,2
1862,Ireland,New Zealand,George Dockrell,2.0,0,18,0,9.0,4
1862,New Zealand,Ireland,Trent Boult,4.0,0,38,0,9.5,8
1862,New Zealand,Ireland,Tim Southee,4.0,0,29,2,7.25,8
1862,New Zealand,Ireland,Lockie Ferguson,4.0,0,22,3,5.5,10
1862,New Zealand,Ireland,Mitchell Santner,4.0,0,26,2,6.5,12
1862,New Zealand,Ireland,Ish Sodhi,4.0,0,31,2,7.75,10
1861,South Africa,Pakistan,Wayne Parnell,4.0,0,31,1,7.75,10
1861,South Africa,Pakistan,Kagiso Rabada,4.0,0,44,1,11.0,7
1861,South Africa,Pakistan,Lungi Ngidi,4.0,0,32,1,8.0,11
1861,South Africa,Pakistan,Anrich Nortje,4.0,0,41,4,10.25,11
1861,South Africa,Pakistan,Tabraiz Shamsi,4.0,0,36,1,9.0,8
1861,Pakistan,South Africa,Shaheen Shah Afridi,3.0,0,14,3,4.66,11
1861,Pakistan,South Africa,Naseem Shah,3.0,0,19,1,6.33,10
1861,Pakistan,South Africa,Haris Rauf,3.0,0,44,1,14.66,2
1861,Pakistan,South Africa,Mohammad Wasim,2.0,0,13,1,6.5,3
1861,Pakistan,South Africa,Shadab Khan,2.0,0,16,2,8.0,5
1861,Pakistan,South Africa,Mohammad Nawaz,1.0,0,2,0,2.0,4
1860,Bangladesh,India,Taskin Ahmed,4.0,0,15,0,3.75,16
1860,Bangladesh,India,Shoriful Islam,4.0,0,57,0,14.25,7
1860,Bangladesh,India,Hasan Mahmud,4.0,0,47,3,11.75,7
1860,Bangladesh,India,Mustafizur Rahman,4.0,0,31,0,7.75,9
1860,Bangladesh,India,Shakib Al Hasan,4.0,0,33,2,8.25,3
1860,India,Bangladesh,Bhuvneshwar Kumar,3.0,0,27,0,9.0,7
1860,India,Bangladesh,Arshdeep Singh,4.0,0,38,2,9.5,10
1860,India,Bangladesh,Mohammed Shami,3.0,0,25,1,8.33,7
1860,India,Bangladesh,Axar Patel,1.0,0,6,0,6.0,2
1860,India,Bangladesh,Ravichandran Ashwin,2.0,0,19,0,9.5,4
